# Langmuir Probe Measurement Export
# Schema: lp-measurement-csv v1
# Generator: LangmuirMeasure 3.0
# Date: 2026-04-20 14:09:45
# Instrument: Keysight Technologies,B2901A,SIM00001,2.0.0 (SIM-v2)
# VISA: GPIB0::25::INSTR
# V_start_V: -50
# V_stop_V: 50
# V_step_V: 0.5
# Settle_s: 0.02
# Compliance_A: 0.01
# Averages: 3
# Bidirectional: False
# Points: 201
# Run_Status: completed
# Probe_Geometry: cylindrical
# Exposed_Length_mm: 5.000
# Electrode_Radius_mm: 0.1000
# Geometric_Area_mm2: 3.1416
# Electrode_Spacing_mm: 3.00
# Probe_Material: tungsten
# Method: double
#
# V_soll_V,V_ist_V,I_mean_A,I_std_A,dir,compl
-50,-50,-2.250000e-03,0.000000e+00,fwd,0
-49.5,-49.5,-2.247500e-03,0.000000e+00,fwd,0
-49,-49,-2.245000e-03,0.000000e+00,fwd,0
-48.5,-48.5,-2.242500e-03,0.000000e+00,fwd,0
-48,-48,-2.240000e-03,0.000000e+00,fwd,0
-47.5,-47.5,-2.237499e-03,0.000000e+00,fwd,0
-47,-47,-2.234999e-03,0.000000e+00,fwd,0
-46.5,-46.5,-2.232499e-03,0.000000e+00,fwd,0
-46,-46,-2.229999e-03,0.000000e+00,fwd,0
-45.5,-45.5,-2.227499e-03,0.000000e+00,fwd,0
-45,-45,-2.224999e-03,0.000000e+00,fwd,0
-44.5,-44.5,-2.222499e-03,0.000000e+00,fwd,0
-44,-44,-2.219998e-03,0.000000e+00,fwd,0
-43.5,-43.5,-2.217498e-03,0.000000e+00,fwd,0
-43,-43,-2.214998e-03,0.000000e+00,fwd,0
-42.5,-42.5,-2.212497e-03,0.000000e+00,fwd,0
-42,-42,-2.209997e-03,0.000000e+00,fwd,0
-41.5,-41.5,-2.207496e-03,0.000000e+00,fwd,0
-41,-41,-2.204995e-03,0.000000e+00,fwd,0
-40.5,-40.5,-2.202495e-03,0.000000e+00,fwd,0
-40,-40,-2.199994e-03,0.000000e+00,fwd,0
-39.5,-39.5,-2.197492e-03,0.000000e+00,fwd,0
-39,-39,-2.194991e-03,0.000000e+00,fwd,0
-38.5,-38.5,-2.192489e-03,0.000000e+00,fwd,0
